name of file,donor,islet,glucose,cell number,cell type,R64 file,npy file
1161_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_12.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1161_beta.npy
1162_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_13.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1162_beta.npy
1163_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_14.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1163_beta.npy
1164_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_15.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1164_beta.npy
1165_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_16.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1165_beta.npy
1166_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_17.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1166_beta.npy
1167_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_18.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1167_beta.npy
1168_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_19.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1168_beta.npy
1169_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_20.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1169_beta.npy
1170_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_21.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1170_beta.npy
1171_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_22.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1171_beta.npy
1172_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_23.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1172_beta.npy
1173_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_24.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1173_beta.npy
1174_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_25.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1174_beta.npy
1175_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_26.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1175_beta.npy
1176_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_27.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1176_beta.npy
1177_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_28.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1177_beta.npy
1178_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_29.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1178_beta.npy
1179_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_30.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1179_beta.npy
1180_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_31.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1180_beta.npy
1181_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_32.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1181_beta.npy
1182_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_33.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1182_beta.npy
1183_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_34.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1183_beta.npy
1184_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_35.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1184_beta.npy
1185_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_36.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1185_beta.npy
1186_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_37.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1186_beta.npy
1187_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_38.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1187_beta.npy
1188_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_39.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1188_beta.npy
1189_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_40.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1189_beta.npy
1190_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_41.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1190_beta.npy
1191_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_42.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1191_beta.npy
1192_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_43.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1192_beta.npy
1193_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_44.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1193_beta.npy
1194_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_45.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1194_beta.npy
1195_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_46.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1195_beta.npy
1196_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_47.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1196_beta.npy
1197_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_48.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1197_beta.npy
1198_beta,20210716,P2H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta2_49.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1198_beta.npy
1199_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_1.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1199_beta.npy
1200_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_2.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1200_beta.npy
1201_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_3.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1201_beta.npy
1202_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_4.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1202_beta.npy
1203_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_5.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1203_beta.npy
1204_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_6.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1204_beta.npy
1205_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_7.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1205_beta.npy
1206_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_8.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1206_beta.npy
1207_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_9.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1207_beta.npy
1208_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_10.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1208_beta.npy
1209_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_11.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1209_beta.npy
1210_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_12.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1210_beta.npy
1211_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_13.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1211_beta.npy
1212_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_14.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1212_beta.npy
1213_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_15.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1213_beta.npy
1214_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_16.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1214_beta.npy
1215_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_17.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1215_beta.npy
1216_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_18.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1216_beta.npy
1217_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_19.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1217_beta.npy
1218_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_20.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1218_beta.npy
1219_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_21.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1219_beta.npy
1220_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_22.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1220_beta.npy
1221_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_23.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1221_beta.npy
1222_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_24.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1222_beta.npy
1223_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_25.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1223_beta.npy
1224_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_26.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1224_beta.npy
1225_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_27.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1225_beta.npy
1226_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_28.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1226_beta.npy
1227_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_29.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1227_beta.npy
1228_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_30.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1228_beta.npy
1229_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_31.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1229_beta.npy
1230_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_32.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1230_beta.npy
1231_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_33.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1231_beta.npy
1232_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_34.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1232_beta.npy
1233_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_35.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1233_beta.npy
1234_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_36.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1234_beta.npy
1235_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_37.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1235_beta.npy
1236_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_38.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1236_beta.npy
1237_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_39.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1237_beta.npy
1238_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_40.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1238_beta.npy
1239_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_41.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1239_beta.npy
1240_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_42.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1240_beta.npy
1241_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_43.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1241_beta.npy
1242_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_44.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1242_beta.npy
1243_beta,20210716,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210716\P2H1\beta\beta16_45.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1243_beta.npy
